#
#   VizieR Astronomical Server cdsarc.cds.unistra.fr
#    Date: 2025-04-28T21:48:34 [V7.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-28T21:48:34	  Query execution date
#INFO	request=https://cdsarc.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-out.add=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=V/137D/XHIP,V/137D/refs,V/137D/groups&-order=I&-out=HIP&-out=RAJ2000&-out=DEJ2000&-out=Dist&Dist=&gt;= 0&-out=X&-out=Y&-out=Z&-out=SpType&Simbad=Simbad&-out=Lum&-out=Name&-out=GrpName&-out=AltName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=3	
#  3 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5137
#Name: V/137D
#Title: Extended Hipparcos Compilation (XHIP) (Anderson+, 2012)
#INFO	ivoid=ivo://cds.vizier/v/137d	    IVOID of underlying data collection
#INFO	creator=Anderson E.	    First author or institution
#INFO	cites=bibcode:2012AstL...38..331A	    Article or Data origin sources
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/137D	    Dataset landing page
#INFO	publication_date=2017-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	V_137D_XHIP:
#Name: V/137D/XHIP
#Title: XHIP catalog: astrometry, spectrography, space motions, exoplanets, photometry, and references
#Column	HIP	(I6)	Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F12.8)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F7.2)	? Heliocentric distance (7)	[ucd=pos.distance]
#Column	X	(F6.1)	? Heliocentric distance towards Gal. center	[ucd=pos.distance]
#Column	Y	(F7.1)	? Heliocentric distance towards Gal. rotation	[ucd=pos.distance]
#Column	Z	(F6.1)	? Heliocentric distance towards N. Gal. Pole	[ucd=pos.distance]
#Column	SpType	(a26)	Spectral type (MK, HD, or other)	[ucd=src.spType]
#Column	Lum	(F9.2)	? Stellar luminosity (23)	[ucd=phys.luminosity]
#Column	Name	(a48)	Star name(s)	[ucd=meta.id]
#Column	GrpName	(a106)	Cluster or Association name(s)	[ucd=meta.id.parent]
HIP	RAJ2000	DEJ2000	Dist	X	Y	Z	SpType	Lum	Name	GrpName
  1053	003.28431056	-07.68257702	 146.10	  -5.7	   53.1	-136.0	G8/K0 III/IV              	    26.43	                                                	
  1055	003.28763577	+20.38241638	  40.97	 -10.9	   28.6	 -27.2	M0V                       	     0.21	                                                	
  1057	003.28963959	+16.92165199	 128.96	 -31.1	   85.8	 -91.2	K1III                     	    52.45	                                                	
  1058	003.29159470	-43.06516946	  65.29	  16.6	  -11.0	 -62.2	F5IV                      	     3.40	                                                	
  1063	003.30266802	+62.04092424	 119.68	 -57.0	  105.2	  -1.0	kA2hA2mA4                 	    26.48	                                                	
  1066	003.30755589	-37.82286522	 233.12	  49.8	  -20.7	-226.8	K3/4 III                  	   190.35	                                                	
  1067	003.30895847	+15.18361610	 119.47	 -27.3	   77.3	 -86.9	B2IV                      	  3312.08	88 Gamma Pegasi (Algenib)                       	
  1068	003.31099339	+69.32759463	  19.69	  -9.6	   17.0	   2.3	M6                        	     0.01	Gliese 11 A                                     	
  1069	003.31443360	-26.32530822	 217.58	  26.2	   19.1	-215.2	K1/2 III                  	    82.04	                                                	
  1071	003.32358139	-23.73251638	  86.81	   8.5	   11.1	 -85.7	F2 V                      	     4.25	                                                	
  1072	003.32615506	-20.61881556	  89.08	   6.4	   15.5	 -87.5	F5 IV/V                   	     7.13	                                                	
  1073	003.33060053	+08.92988044	  94.09	 -16.9	   54.4	 -74.9	F0                        	     6.00	                                                	
  1074	003.33145157	-84.99402084	 294.65	 139.3	 -207.2	-156.4	M0/1III                   	         	HR 47                                           	
  1075	003.33541890	+49.72339534	 218.66	 -95.6	  190.7	 -48.0	A0                        	    49.88	                                                	
  1076	003.34972191	+26.98762539	 128.89	 -40.5	   97.4	 -74.1	F8V                       	    50.22	HR 40                                           	
  1078	003.35151996	+19.07164308	  35.42	  -9.1	   24.3	 -24.1	K6/7V                     	     0.21	                                                	
  1083	003.37179164	-36.82792675	  28.04	   5.8	   -2.1	 -27.4	M0.5V                     	     0.08	                                                	
  1084	003.37688936	-65.94442655	 195.12	  77.8	  -95.9	-151.1	K2III                     	    16.68	                                                	
  1085	003.37844849	-40.35838514	  34.59	   8.0	   -4.4	 -33.3	K2+ V (k)                 	     0.32	                                                	
  1086	003.37889717	+41.03572675	  34.90	 -13.9	   29.4	 -12.7	F0IVs                     	     5.26	23 Andromedae                                   	
  1089	003.40091418	+36.17092832	 209.89	 -78.0	  171.6	 -92.3	A0V                       	    20.01	                                                	
  1090	003.40403310	+47.19327120	 144.95	 -62.0	  125.4	 -38.0	A2                        	    11.20	                                                	
  1092	003.40754870	+80.66533914	  19.56	  -9.7	   15.9	   6.0	M1.5                      	     0.04	                                                	
  1093	003.41100432	+42.94939358	 211.94	 -86.4	  180.3	 -70.3	K0                        	    89.54	                                                	
  1096	003.42591832	-26.02215420	 381.57	  44.3	   35.0	-377.4	K5 III                    	  1696.46	HR 42                                           	
  1098	003.42924238	+18.63580576	 219.10	 -56.1	  149.2	-150.3	G5                        	    35.98	                                                	
  1099	003.43491474	-26.28498313	 261.17	  30.9	   22.9	-258.3	K4 III                    	   573.67	HR 43                                           	
  1101	003.43792965	-48.68413248	 105.14	  30.8	  -26.6	 -97.0	A5IV                      	    14.99	                                                	
  1102	003.43924079	-23.21460149	 155.35	  14.3	   20.9	-153.3	K1 IIICNIV                	    58.00	                                                	
  1103	003.44014994	+08.19351654	  65.13	 -11.4	   37.0	 -52.4	F2                        	     4.07	                                                	
  1105	003.44344000	+64.86484261	 100.88	 -48.8	   88.2	   4.0	G0                        	     5.64	                                                	
  1107	003.44829264	+01.38362237	 244.95	 -29.1	  118.6	-212.3	K1 II/III                 	   184.40	                                                	
  1108	003.45258075	+16.58062796	 107.07	 -25.8	   70.7	 -76.2	F0                        	     2.74	                                                	
  1111	003.45941576	-52.57099731	 140.67	  44.9	  -43.6	-126.0	G5V                       	     4.21	                                                	
  1113	003.47011784	-74.68817235	  44.33	  19.4	  -26.5	 -29.8	G8V                       	     0.61	                                                	Tucana / Horologium
  1114	003.47070038	-56.99978867	  67.91	  23.6	  -25.3	 -58.4	F6V                       	     5.74	                                                	
  1116	003.48246264	-52.54548896	  96.39	  30.7	  -29.8	 -86.4	G1V                       	     2.28	                                                	
  1119	003.49998887	-10.95370294	  42.45	  -0.6	   13.4	 -40.3	K0                        	     0.36	                                                	
  1120	003.50500987	-03.90877794	 220.20	 -16.5	   91.2	-199.8	G8 III                    	    60.59	                                                	
  1121	003.50534457	+00.86872556	 138.50	 -16.0	   66.1	-120.7	F5 V                      	     3.43	                                                	
  1123	003.50952686	+33.20608457	 103.04	 -36.6	   82.3	 -50.0	A0III                     	    34.04	HR 44                                           	
  1124	003.51062430	+76.02699733	 270.09	-133.9	  226.2	  62.2	M4III:                    	         	                                                	
  1125	003.51181523	+44.51203399	 164.58	 -68.5	  140.9	 -50.5	F3IV                      	     9.91	                                                	
  1126	003.51691834	-74.91206052	 347.42	 152.5	 -208.4	-232.4	K2III                     	   355.89	                                                	
  1128	003.51761280	-11.31111848	  42.46	  -0.5	   13.2	 -40.4	G6wF7                     	     0.80	                                                	
  1133	003.53745190	+26.25887158	 112.35	 -35.0	   84.1	 -65.8	F7IV                      	    17.51	                                                	
  1134	003.54247349	-07.19896194	  47.10	  -2.2	   17.4	 -43.7	F7 V                      	     2.30	                                                	
  1137	003.55448940	+35.41805012	  74.71	 -27.6	   60.7	 -33.7	F5V                       	     2.92	                                                	
  1139	003.56007317	+55.28323536	 273.89	-125.9	  240.8	 -34.3	K2:III                    	   139.95	                                                	
  1140	003.56129412	-55.06959063	  45.19	  15.1	  -15.6	 -39.6	F5IV/V                    	     3.77	                                                	
  1142	003.57700155	-68.91865925	 244.85	 100.9	 -129.7	-181.5	A7IV                      	    26.10	                                                	
  1144	003.58425771	-27.53107961	  50.74	   6.4	    3.4	 -50.2	G5 V                      	     2.56	Gliese 2002                                     	
  1146	003.58669177	-62.77197860	 385.18	 146.4	 -173.8	-311.0	M1III                     	         	                                                	
  1147	003.58686007	-21.19639412	  55.43	   4.0	    9.1	 -54.5	F7 V                      	     4.88	                                                	
  1148	003.58886594	+60.34163020	  48.59	 -23.1	   42.7	  -1.9	G8   III                  	     0.91	                                                	
  1150	003.59327554	+76.02217570	 337.12	-167.2	  282.2	  77.6	G4III                     	   115.02	                                                	
  1151	003.59303681	-28.93445275	  99.83	  13.8	    4.6	 -98.8	K0/1 V(CNIII)             	     1.79	                                                	
  1152	003.59842442	+43.84587584	 117.93	 -48.8	  100.6	 -37.5	F8V                       	     6.65	                                                	
  1153	003.60195568	-02.19792339	 202.34	 -18.4	   88.3	-181.1	K2/3 III                  	    98.58	                                                	
  1154	003.60639323	-27.16976841	 121.48	  15.0	    8.8	-120.2	G1/2 V                    	     3.60	                                                	
  1156	003.61280749	+16.64089840	  89.52	 -21.8	   59.0	 -63.7	F2                        	     3.50	                                                	
  1158	003.61496759	-07.78053798	 177.96	  -7.7	   64.0	-165.9	M1/2  III                 	         	                                                	
  1161	003.61695903	-14.43147807	  74.66	   1.1	   19.7	 -72.0	F5 V                      	     8.14	                                                	
  1164	003.64038550	+41.03258093	 197.43	 -79.1	  166.0	 -71.7	K0                        	   120.56	                                                	
  1166	003.64829798	-31.02321009	 114.13	  17.7	    1.5	-112.7	F6 V                      	     1.78	                                                	
  1168	003.65045040	+20.20669713	 112.78	 -30.5	   78.3	 -75.2	M2+ III                   	   476.09	89 chi Pegasi                                   	
  1169	003.65231391	+01.29686794	  79.82	  -9.7	   38.4	 -69.3	F5/6  V                   	     8.55	                                                	
  1170	003.66013616	-18.93268630	 136.93	   7.2	   27.0	-134.1	M1 III                    	         	7 Ceti                                          	
  1173	003.66271471	-39.79415833	  74.33	  16.7	   -9.0	 -71.9	G3V                       	     1.09	                                                	
  1174	003.66359552	+12.23639877	  85.65	 -18.0	   52.5	 -65.3	G0                        	     1.59	                                                	
  1176	003.66828690	-14.80514212	 123.43	   2.1	   31.9	-119.2	G8 III/IV                 	    42.51	                                                	
  1181	003.68436867	-46.03345874	 239.68	  65.0	  -51.6	-224.9	K2III                     	   117.40	                                                	
  1184	003.69901904	+62.19636757	 117.57	 -56.4	  103.1	  -0.8	F6   V                    	     4.84	                                                	
  1185	003.70105119	-14.17758310	  88.51	   1.0	   23.7	 -85.3	A7 III                    	    12.13	                                                	
  1187	003.70741520	-28.98739663	  75.61	  10.4	    3.3	 -74.8	F5                        	     0.58	                                                	
  1188	003.70829024	+23.79341492	 131.75	 -39.1	   95.7	 -81.7	F8                        	     5.58	                                                	
  1190	003.72251317	-32.15270011	 119.07	  19.4	   -0.5	-117.5	F3 V                      	     7.52	                                                	
  1191	003.72708879	-09.56955074	 103.64	  -3.1	   34.6	 -97.7	B9V                       	    74.93	HR 51                                           	
  1192	003.73247888	-03.02735071	 201.72	 -17.3	   85.5	-181.9	M0 III                    	   215.93	                                                	
  1193	003.73279435	+22.28425204	 140.31	 -40.2	  100.0	 -89.8	A1IV-V                    	    63.06	HR 49                                           	
  1194	003.73466715	+21.54219624	 227.44	 -64.0	  160.6	-147.8	K2                        	    94.30	                                                	
  1195	003.74253249	-34.90419370	 192.93	  35.7	   -9.0	-189.4	K3 III                    	   229.30	HR 54                                           	
  1196	003.74492301	+08.82102239	  77.14	 -14.2	   44.2	 -61.6	A9IV                      	    19.28	35 Piscium                                      	
  1197	003.74666023	+08.81834058	  88.60	 -16.4	   50.8	 -70.7	F4V                       	     6.11	                                                	
  1199	003.75013090	+05.58836458	 141.45	 -22.4	   75.6	-117.4	F8                        	     7.45	                                                	
  1203	003.76469387	-33.58395309	 107.01	  18.6	   -2.9	-105.3	G0 V                      	     2.32	                                                	
  1206	003.76898987	-68.53023278	  44.97	  18.4	  -23.6	 -33.5	G6V                       	     0.73	                                                	
  1207	003.77828107	+33.03049665	 199.02	 -71.2	  158.4	 -97.2	K0                        	    56.89	                                                	
  1208	003.77886508	+31.53573777	 280.17	 -97.7	  220.2	-143.0	K5                        	   654.11	HR 52                                           	
  1211	003.78824098	+34.86822441	  97.29	 -35.9	   78.6	 -44.8	F3IV/V                    	     5.04	                                                	
  1215	003.79397766	+27.28347712	 134.37	 -43.2	  101.4	 -76.9	A0Vn                      	    52.75	HR 53                                           	
  1218	003.80292347	-34.49528347	 182.82	  33.1	   -7.5	-179.6	K0 III                    	    16.52	                                                	
  1219	003.80340752	+27.61199348	 169.16	 -54.8	  128.0	 -96.0	G5                        	    11.31	                                                	
  1221	003.80632988	-42.10338313	  90.36	  21.8	  -14.2	 -86.5	F7/8V:                    	     1.58	                                                	
  1224	003.81061118	+53.07404693	  78.81	 -35.8	   69.0	 -12.9	K3                        	     0.49	                                                	
  1225	003.81273859	-40.09596000	 128.20	  28.9	  -16.2	-123.8	G8/K1III                  	    20.58	                                                	
  1228	003.81692119	-42.16494854	 159.25	  38.4	  -25.2	-152.5	F2V                       	     7.05	                                                	
  1230	003.81786884	-06.13809046	 137.69	  -8.3	   52.4	-127.0	K0 III                    	    18.48	                                                	
  1231	003.81823721	-16.75619512	 133.84	   4.2	   30.6	-130.2	F3 IV                     	    12.88	                                                	
  1233	003.82428005	+44.20339850	 319.32	-133.6	  272.4	 -99.7	B9IVn                     	   234.46	                                                	
  1234	003.83963447	+28.58737722	  92.57	 -30.6	   70.7	 -51.2	F5                        	     8.82	                                                	
  1237	003.85228540	-13.05439844	 196.31	  -0.2	   55.4	-188.3	A8 V                      	    12.37	                                                	
  1240	003.86261282	+64.27531538	  58.80	 -28.5	   51.4	   1.7	K3                        	     0.25	                                                	
  1242	003.86527706	-16.13230909	   4.97	   0.1	    1.2	  -4.8	M4                        	         	Gliese 1005                                     	
  1243	003.87253872	-40.45449477	 152.08	  34.6	  -20.1	-146.7	K1/2III                   	    29.60	                                                	
  1249	003.91083209	+05.84383909	 172.33	 -28.1	   92.4	-142.7	K0                        	    68.16	                                                	
  1252	003.92542025	-07.30639280	 128.96	  -6.7	   46.9	-119.9	F6/7  V                   	     3.87	                                                	
  1255	003.93715279	+45.54392212	 138.63	 -59.0	  118.8	 -40.2	F2IV                      	     8.48	                                                	
  1256	003.93757977	+39.02084850	 155.37	 -61.2	  128.9	 -61.5	F2                        	     7.66	                                                	
  1258	003.94625443	-66.92406875	  83.35	  33.3	  -42.2	 -63.7	F7V                       	     2.43	                                                	
  1259	003.95249186	+59.44026707	 209.67	 -99.6	  184.1	 -11.4	B9.5V                     	    27.66	                                                	
  1265	003.96507504	-05.60120092	 204.21	 -13.8	   79.0	-187.8	G8 III/IV                 	    48.86	                                                	
  1266	003.96596900	-08.87628753	  86.66	  -3.4	   29.6	 -81.4	G1 V                      	     1.59	                                                	
  1268	003.97890183	-75.91160950	 188.56	  83.2	 -115.4	-123.8	G8/K0III                  	   107.48	HR 58                                           	
  1269	003.97863183	+61.00019739	 131.87	 -63.2	  115.7	  -3.6	G0II                      	    49.01	                                                	
  1272	003.98870826	+04.25114916	 103.25	 -15.6	   53.3	 -87.1	A0 V                      	    13.63	                                                	
  1274	003.99933455	-09.47948907	  64.53	  -2.2	   21.5	 -60.8	G0 V                      	     1.38	                                                	
  1275	004.00005500	-22.42144972	  50.69	   3.9	    7.2	 -50.0	G8 V                      	     0.32	                                                	
  1276	004.00847392	-48.26027354	  22.51	   6.4	   -5.6	 -20.8	M5                        	         	Gliese 3020                                     	
  1286	004.02245174	+08.11560388	 112.43	 -20.6	   63.2	 -90.6	A5                        	     9.65	                                                	
  1288	004.03660690	-31.44632826	 151.69	  23.2	    0.6	-149.9	K2 III                    	   230.31	HR 57                                           	
  1290	004.04350971	-27.77814278	  78.73	   9.6	    4.7	 -78.0	G5 V                      	     1.04	                                                	
  1291	004.04539767	+55.86805104	 166.61	 -77.6	  146.2	 -19.3	F5                        	     5.77	                                                	
  1292	004.04683944	-79.85104066	  17.50	   8.0	  -11.4	 -10.6	G8V                       	     0.68	Gliese 3021 A                                   	
  1294	004.04772280	+30.53248402	  39.28	 -13.6	   30.5	 -20.7	K2V                       	     0.55	                                                	
  1296	004.05785367	+76.95076267	 190.03	 -94.6	  158.1	  46.7	B8Vnn                     	   121.12	                                                	
  1297	004.06050131	+35.17799681	  66.49	 -24.9	   53.7	 -30.3	G                         	     1.15	                                                	
  1299	004.08276303	-33.46932845	  73.05	  12.4	   -2.0	 -72.0	G8/K0 V                   	     0.83	                                                	
  1300	004.08628979	+71.93096656	 135.43	 -67.2	  115.5	  21.8	F8                        	     1.98	                                                	
  1301	004.08605583	+16.64653484	  95.81	 -24.0	   62.8	 -68.2	G0.  V                    	     1.14	                                                	
  1302	004.08958550	+43.59510616	 105.96	 -44.3	   90.0	 -34.2	A2V                       	    35.37	HR 56                                           	
  1303	004.09065381	-07.03004704	 162.89	  -9.3	   59.7	-151.3	F3 V                      	     7.48	                                                	
  1304	004.09273100	-19.39924077	  77.64	   3.9	   14.5	 -76.2	G3 V                      	     1.67	                                                	
  1305	004.09772313	-34.82930413	 111.07	  20.0	   -5.3	-109.1	G1/2 V                    	     2.60	                                                	
  1306	004.09768720	-22.58791932	  75.84	   5.9	   10.5	 -74.9	G3 V                      	     3.74	                                                	
  1308	004.10122745	-46.71986200	  43.13	  11.7	   -9.8	 -40.3	K5                        	     0.11	                                                	
  1309	004.10158741	-70.39239125	 190.66	  79.4	 -104.7	-138.2	F0V                       	    40.41	                                                	
  1311	004.11529695	-36.79624747	 136.02	  26.6	  -10.7	-133.0	F3 V                      	     3.49	                                                	
  1312	004.13084514	-66.69013411	 209.63	  83.4	 -105.6	-160.8	K2III                     	    50.64	                                                	
  1313	004.13059814	-56.22459100	 142.82	  48.1	  -52.1	-124.0	F8V                       	     3.89	                                                	
  1314	004.13473932	-55.46952745	 160.08	  53.1	  -56.7	-140.0	G8III                     	    21.97	                                                	
  1315	004.13517076	-32.76040372	 288.95	  47.0	   -4.8	-285.0	K0 III                    	   145.62	                                                	
  1317	004.14006697	-17.89575401	 162.46	   5.9	   33.9	-158.8	F3 V                      	     8.98	                                                	
  1318	004.14166884	-13.40383409	 149.48	  -0.4	   41.1	-143.7	A8 V                      	    25.59	                                                	
  1319	004.14190517	+08.24018997	 124.13	 -23.1	   69.9	-100.0	G8II-III                  	    61.63	36 Piscium                                      	
  1320	004.14465259	+15.83717618	 108.24	 -26.6	   70.0	 -78.1	F0III                     	     4.91	                                                	
  1321	004.14652048	-01.52310652	 107.21	 -11.3	   47.2	 -95.6	F8 V                      	     3.72	                                                	
  1322	004.15113220	-50.26967513	  22.06	   6.5	   -6.2	 -20.1	M4                        	     0.01	                                                	
  1323	004.15588888	-21.60054152	 155.50	  10.6	   23.8	-153.3	G0/2                      	     2.60	                                                	
  1325	004.16425059	+01.85057722	 239.30	 -32.0	  115.9	-206.9	M4 III                    	         	                                                	
  1329	004.17353057	+54.66015598	 122.54	 -56.8	  107.3	 -16.8	A6V                       	    13.26	                                                	
  1330	004.17534715	-32.68837312	 148.77	  24.1	   -2.4	-146.8	K0 III                    	    62.04	                                                	
  1331	004.17644797	-20.21005696	 181.47	  10.2	   31.6	-178.4	B6 III/IV                 	   132.80	HR 61                                           	
  1333	004.17935515	+36.62987432	 125.67	 -48.2	  102.4	 -54.5	A2V                       	    22.62	                                                	
  1334	004.17970253	+20.85666300	  44.78	 -12.7	   31.2	 -29.5	K3                        	     0.23	                                                	
  1335	004.18103101	+41.84943411	  98.57	 -40.5	   82.9	 -34.6	F8                        	     3.23	                                                	
  1336	004.18527048	+36.49138844	  77.52	 -29.7	   63.1	 -33.8	F7V                       	     4.12	                                                	
  1339	004.19031688	+10.24475765	 297.66	 -60.3	  174.4	-233.6	M2III                     	         	                                                	
  1340	004.19017088	+13.91680830	 105.81	 -24.5	   66.3	 -78.8	A3pMn                     	     9.70	                                                	
  1341	004.19649936	-46.57394876	 130.41	  35.2	  -29.5	-122.1	F5V                       	     9.18	                                                	
  1342	004.20080417	-78.78009250	 104.60	  47.2	  -67.3	 -64.7	F3III                     	    18.06	HR 64                                           	
  1346	004.21562992	+46.61432783	 241.38	-104.6	  207.3	 -65.9	G5                        	   102.09	                                                	
  1347	004.21891792	+81.66369014	  33.17	 -16.5	   26.7	  10.7	K0                        	     0.40	                                                	
  1349	004.22329979	-52.65159218	  22.59	   7.1	   -7.1	 -20.3	G5V Fe-1.2 CH-0.9         	     0.91	Gliese 13                                       	
  1350	004.22410680	-07.19198625	  67.83	  -3.9	   24.6	 -63.1	G2 V                      	     1.12	                                                	
  1351	004.22489293	-15.47418951	  97.24	   1.4	   23.7	 -94.3	G1 V(W)                   	     1.70	                                                	
  1353	004.22905154	+23.25623277	 156.47	 -47.0	  112.3	 -98.3	K0III-IV                  	    52.49	                                                	
  1354	004.23771175	+61.53319401	 188.93	 -91.1	  165.5	  -3.5	G4II                      	   199.25	HR 60                                           	
  1356	004.23981336	-58.15191792	 189.28	  65.9	  -74.2	-161.2	K1III                     	    42.96	                                                	
  1359	004.26178666	+84.95506748	 210.24	-103.5	  164.9	  79.2	F0                        	    27.84	                                                	
  1361	004.26259977	+28.31431315	 139.72	 -46.8	  106.0	 -78.0	F5                        	     3.49	                                                	
  1363	004.27038307	+56.90960866	 238.75	-112.4	  209.3	 -23.5	A0V                       	    46.12	                                                	
  1365	004.27306005	-01.65304099	 153.38	 -16.2	   67.2	-136.9	G6 V                      	    10.60	                                                	
  1366	004.27306553	+38.68167907	  93.77	 -37.1	   77.4	 -37.7	A2IV                      	   112.75	24 Theta Andromedae                             	
  1368	004.27473329	+40.94809419	  15.00	  -6.1	   12.6	  -5.5	K7                        	     0.11	Gliese 14 (Ross 5)                              	
  1372	004.28766759	+47.94741501	 339.87	-149.4	  293.1	 -85.3	B7II+                     	   701.16	HR 62                                           	
  1375	004.29986324	-61.25834162	 143.31	  52.5	  -62.2	-117.9	F5V                       	     7.09	                                                	
  1377	004.30183859	+23.59764964	 127.95	 -38.9	   92.1	 -79.8	A2III                     	     9.72	                                                	
  1382	004.31752603	-43.85269408	  36.33	   9.0	   -6.8	 -34.5	G2V                       	     0.80	Gliese 9007                                     	
  1385	004.33268283	+00.59009827	 119.93	 -15.1	   56.0	-105.0	G2/3 V                    	     3.45	                                                	
  1386	004.33276003	+29.18196398	  23.12	  -7.9	   17.7	 -12.6	M2                        	     0.03	Gliese 3023 (Ross 680)                          	
  1389	004.34287467	+18.85956536	  46.34	 -12.5	   31.3	 -31.8	K7V                       	     0.23	                                                	
  1392	004.35209754	+08.87633388	  64.71	 -12.6	   36.8	 -51.7	G0:III + F2V              	         	38 Piscium                                      	
  1393	004.35153290	-51.52235661	 112.49	  34.1	  -33.7	-101.8	F7V                       	     2.01	                                                	
  1394	004.35158735	-66.56708428	  96.06	  38.0	  -48.3	 -73.8	F6V                       	     3.85	                                                	
  1395	004.36550498	-46.33560653	 146.06	  38.9	  -32.7	-136.9	K0/1IV/V:                 	     4.52	                                                	
  1397	004.36983676	+00.32097557	 122.89	 -15.2	   56.9	-107.9	F8 V                      	    11.20	                                                	
  1398	004.37534893	-47.43322993	  42.89	  11.8	  -10.3	 -39.9	K7                        	     0.08	                                                	
  1399	004.37630703	-59.95106551	  46.03	  16.5	  -19.2	 -38.5	M1                        	     0.13	                                                	
  1400	004.37733454	+45.76597575	  96.73	 -41.7	   82.7	 -27.8	G0                        	     2.45	                                                	
  1402	004.38621018	-19.05108594	  48.47	   2.1	    9.2	 -47.5	F2Vs                      	     5.49	HR 66                                           	
  1403	004.38769140	+36.55045484	 225.08	 -86.8	  183.1	 -98.0	G8III                     	    55.14	                                                	
  1404	004.39394679	-69.87844464	  92.78	  38.3	  -50.4	 -67.8	G0IV                      	     3.86	                                                	
  1406	004.38716387	+24.66785763	  49.89	 -15.6	   36.3	 -30.4	                          	     0.18	                                                	
  1407	004.40185181	-64.37858974	  42.43	  16.3	  -20.2	 -33.6	K7                        	     0.09	                                                	
  1408	004.41138628	-52.80123947	  54.73	  17.1	  -17.4	 -49.0	                          	     0.25	                                                	
  1409	004.41117040	+44.74490633	 161.66	 -69.1	  137.6	 -49.2	A2V                       	    17.20	                                                	
  1410	004.41554333	+12.04242296	 169.76	 -37.4	  102.6	-130.0	A3                        	    11.82	                                                	
  1411	004.41861876	+37.53787061	  67.13	 -26.3	   55.0	 -28.2	G5                        	     0.96	                                                	
  1412	004.41968801	-08.68231072	  34.39	  -1.6	   11.7	 -32.3	K7V                       	     0.10	Gliese 3025                                     	
  1413	004.42085656	-60.79920984	 142.17	  51.6	  -60.9	-117.6	A8IV                      	    14.31	                                                	
  1414	004.42279108	+73.63756447	 205.57	-102.5	  173.9	  39.0	A4m                       	     6.16	                                                	
  1419	004.44607573	-66.35889355	  81.36	  32.1	  -40.7	 -62.7	G5III/IV                  	     5.10	                                                	
  1420	004.44599523	-03.27426657	  60.52	  -5.7	   25.1	 -54.8	                          	     0.30	                                                	
  1421	004.44852189	+01.68870500	 117.03	 -16.0	   56.2	-101.4	K0 III                    	    52.21	HR 67                                           	
  1424	004.45156725	-01.86274688	 186.69	 -19.9	   80.9	-167.0	G8/K0 III                 	    56.01	                                                	
  1425	004.45528767	-79.23233721	 143.99	  65.1	  -93.3	 -88.2	F8V                       	    12.34	                                                	
  1427	004.45769899	+16.33108223	  44.78	 -11.4	   29.1	 -32.1	F6V                       	     2.38	                                                	
  1428	004.45990066	+59.05758939	 289.55	-138.4	  253.7	 -17.8	B2.5V                     	    80.36	                                                	
  1430	004.46389077	-49.29063688	 127.47	  36.6	  -34.1	-117.3	G2/3V                     	     2.17	                                                	
  1434	004.47002812	+44.57794712	 183.78	 -78.5	  156.3	 -56.4	K0                        	    46.75	                                                	
  1435	004.47021900	+07.86606242	 181.74	 -34.1	  101.0	-147.2	A5                        	    26.63	                                                	
  1437	004.47693936	+00.37758258	  64.58	  -8.1	   29.9	 -56.7	G2 V                      	     1.09	                                                	
  1439	004.48462698	+12.77151320	 143.02	 -32.5	   87.5	-108.4	G8II                      	    58.56	                                                	
  1440	004.48485948	-25.91663067	 171.36	  17.3	   14.6	-169.9	K0 III                    	    19.08	                                                	
  1441	004.48722267	+34.57557110	 145.39	 -54.6	  116.4	 -67.8	F2                        	     7.18	                                                	
  1442	004.49036212	+40.22750393	  60.40	 -24.5	   50.2	 -22.8	G9                        	     0.40	                                                	
  1444	004.49430312	-13.45563905	  27.21	  -0.2	    7.4	 -26.2	G0V                       	     1.69	Gliese 9008                                     	
  1453	004.52543224	-26.90789217	 123.70	  13.4	    8.6	-122.7	F8/G0 V                   	     1.84	                                                	
  1455	004.53293625	+03.79675839	  70.49	 -11.0	   35.7	 -59.8	F0 V                      	     5.43	                                                	
  1456	004.53829453	+46.21435446	 202.85	 -88.2	  173.6	 -56.8	K2III                     	   132.05	                                                	
  1457	004.54156716	-52.96753449	  90.16	  28.1	  -28.9	 -80.6	G5V                       	     1.41	                                                	
  1460	004.55064018	+52.41268625	 105.19	 -48.3	   91.6	 -18.5	G5                        	     7.97	                                                	
